301,34.0
302,8.0
305,90.0
317,11.0
328,17.0
334,21.0
345,24.0
346,57.0
347,43.0
355,27.0
360,55.0
361,33.0
369,65.5
370,60.0
375,99.0
377,28.0
378,99.0
385,38.0
395,91.0
401,46.0
403,61.0
404,90.0
414,51.0
420,35.0
437,0.0
442,66.0
445,62.0
446,44.0
447,34.0
449,64.0
450,65.0
467,80.0
469,56.0
471,0.0
474,8.0
475,91.0
476,47.0
478,70.0
489,28.0
497,38.0
498,73.0
508,62.0
512,14.0
514,50.0
538,22.0
539,75.0
551,73.0
554,92.0
571,23.5
583,11.0
588,73.0
597,0.0
600,79.0
608,69.0
621,94.0
622,75.0
623,16.5
628,87.0
633,83.0
635,76.0
638,41.0
641,47.0
645,87.0
664,57.0
666,17.0
675,77.0
676,75.0
684,50.0
698,19.0
699,97.0
702,19.0
703,21.0
708,34.0
710,11.0
711,83.0
715,18.0
716,46.0
723,71.0
725,71.0
727,69.0
760,97.0
772,11.5
774,99.0
783,38.0
794,27.5
806,51.0
810,29.0
812,82.0
823,17.0
833,16.0
835,27.0
841,91.0
851,13.0
866,14.0
883,95.0
884,42.0
903,80.0
907,22.0
916,20.0
926,83.0
929,1.0
931,19.0
936,39.0
939,2.0
942,33.0
946,16.0
968,41.0
979,43.0
991,29.0
993,80.0
994,23.0
995,62.5
