508,62.0
512,14.0
514,50.0
538,22.0
539,75.0
551,73.0
554,92.0
571,23.5
583,11.0
588,73.0
597,0.0
600,79.0
608,69.0
621,94.0
622,75.0
623,16.5
628,87.0
633,83.0
635,76.0
638,41.0
641,47.0
645,87.0
664,57.0
666,17.0
675,77.0
676,75.0
684,50.0
698,19.0
699,97.0
702,19.0
703,21.0
708,34.0
710,11.0
711,83.0
715,18.0
716,46.0
723,71.0
725,71.0
727,69.0
760,97.0
772,11.5
774,99.0
783,38.0
794,27.5
806,51.0
810,29.0
812,82.0
823,17.0
833,16.0
835,27.0
841,91.0
851,13.0
866,14.0
883,95.0
884,42.0
903,80.0
907,22.0
916,20.0
926,83.0
929,1.0
931,19.0
936,39.0
939,2.0
942,33.0
946,16.0
968,41.0
979,43.0
991,29.0
993,80.0
994,23.0
995,62.5
